seasonId,homeBonus,otDiscount,target
2005,65.3625,0.67275, 0.3922315308453922
2006,63.,0.7245, 0.41952707856598015
2007,62.60625,0.73528125, 0.45551330798479084
2008,68.5125,0.7201875, 0.42293090356871677
2009,63.12304688,0.65388281, 0.43138741470811226
2010,68.709375 ,0.75684375, 0.46626231993934797
2011,58.275,0.629625, 0.43844984802431608
2012,63.7875,0.70725, 0.40942928039702231
2013,63.,  0.7245, 0.42328042328042326
2014,63.,  0.7245, 0.44048521607278246
2015,50.29541016,0.76060034,0.45190839694656493
